start_date_local,type,name,distance,moving_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate
2021-03-20T11:43:06Z,Ride,Afternoon Ride,25613.7,5674,186.9,4.514,10.5,,
2021-03-20T09:52:50Z,Ride,Morning Ride,3156.6,571,5.0,5.528,12.1,97.4,116.0
2021-03-14T13:28:41Z,Ride,Afternoon Ride,33025.4,5885,119.0,5.612,14.8,143.6,191.0
2021-03-14T10:48:29Z,Walk,Morning Walk,7581.6,6845,64.0,1.108,2.6,97.9,129.0
2021-03-13T12:51:43Z,Walk,Afternoon Walk,10178.6,7473,79.0,1.362,3.7,93.2,125.0
2021-03-11T11:10:25Z,Ride,Afternoon Ride,29554.6,5856,133.0,5.047,13.2,135.2,195.0
2021-03-06T12:40:01Z,Ride,Afternoon Ride,50962.3,10573,183.0,4.82,11.5,122.8,174.0
2021-03-05T16:51:36Z,Ride,Evening Ride,24004.7,4426,114.0,5.424,11.3,139.0,193.0
2021-02-28T12:13:29Z,Ride,Afternoon Ride,9789.5,2010,30.0,4.87,12.8,152.1,180.0
2021-02-27T11:46:25Z,Ride,Afternoon Ride,60724.9,10435,236.0,5.819,14.7,152.0,193.0
2021-02-24T19:37:14Z,Walk,Evening Walk,2182.3,1885,9.0,1.158,2.1,83.9,108.0
2021-02-21T10:59:21Z,Hike,Morning Hike,14897.6,10748,14.0,1.386,2.7,116.5,150.0
2021-02-20T09:08:00Z,Hike,Morning Hike,23701.2,17315,172.0,1.369,4.3,119.7,168.0
2021-02-16T14:35:14Z,Hike,Afternoon Hike,15031.1,10435,183.8,1.44,2.6,120.0,183.0
2021-02-14T13:38:59Z,Ride,Afternoon Ride,21760.9,5828,99.0,3.734,11.3,119.0,175.0
2021-02-13T14:46:26Z,Hike,Afternoon Hike,10027.2,7662,94.0,1.309,4.7,107.0,176.0
2021-02-09T19:54:30Z,Walk,Evening Walk,6271.4,4656,23.0,1.347,2.3,96.3,123.0
2021-02-07T12:47:21Z,Hike,Afternoon Hike,25866.3,17245,60.0,1.5,4.2,114.5,176.0
2021-02-04T21:47:49Z,Walk,Night Walk,4441.5,3305,13.0,1.344,2.6,89.1,113.0
2021-01-30T13:38:33Z,Walk,Afternoon Walk,7378.1,6203,171.0,1.189,2.4,100.6,133.0
2021-01-26T19:36:23Z,Walk,Evening Walk,4732.5,3868,39.0,1.224,3.4,103.1,150.0
2021-01-21T18:37:24Z,Run,Evening Run,8409.0,3137,29.0,2.681,4.7,162.5,173.0
2021-01-20T19:23:49Z,Walk,Evening Walk,2585.8,2083,20.0,1.241,2.1,89.8,113.0
2021-01-17T12:13:08Z,Hike,Afternoon Hike,16595.9,11937,141.5,1.39,3.3,99.5,149.0
2021-01-16T13:04:08Z,Walk,Afternoon Walk,11373.6,8910,253.0,1.276,4.9,105.1,178.0
2021-01-15T18:19:28Z,Walk,Evening Walk,5489.0,3963,19.0,1.385,2.6,99.6,121.0
2021-01-12T20:36:04Z,Walk,Evening Walk,3160.1,2202,12.0,1.435,3.0,84.5,98.0
2021-01-10T13:24:28Z,Hike,Afternoon Hike,21140.8,15193,342.7,1.391,4.1,108.4,160.0
2021-01-08T18:24:49Z,Walk,Evening Walk,5718.4,4545,63.0,1.258,2.3,79.3,99.0
2021-01-07T17:35:56Z,Run,Evening Run,9373.5,3443,26.0,2.722,4.2,154.4,175.0
2021-01-06T18:38:08Z,Walk,Evening Walk,7793.7,6035,39.0,1.291,2.8,86.9,134.0
2021-01-05T19:48:55Z,Walk,Evening Walk,8199.3,5997,116.0,1.367,4.3,91.6,121.0
2021-01-03T12:45:42Z,Ride,Afternoon Ride,62101.7,10121,241.0,6.136,11.9,142.8,195.0
2021-01-02T12:42:24Z,Hike,Afternoon Hike,21458.5,15175,330.1,1.414,9.0,98.8,146.0
2021-01-01T13:46:08Z,Hike,Afternoon Hike,21152.3,15270,537.0,1.385,3.4,106.0,165.0
2020-12-31T14:53:27Z,Ride,Afternoon Ride,40392.0,6883,239.0,5.868,13.5,148.7,192.0
2020-12-30T13:22:10Z,Walk,Afternoon Walk,11646.4,6678,103.0,1.744,3.6,99.1,174.0
2020-12-29T14:11:30Z,Walk,Afternoon Walk,1500.2,1266,16.0,1.185,1.9,95.4,128.0
2020-12-28T20:35:29Z,Walk,Evening Walk,3751.6,2852,21.0,1.315,2.2,89.0,116.0
2020-12-27T11:33:06Z,Hike,Afternoon Hike,15288.5,13444,540.0,1.137,2.4,97.3,145.0
2020-12-26T18:49:02Z,Walk,Evening Walk,4229.0,4161,14.0,1.016,2.8,84.4,117.0
2020-12-25T14:15:22Z,Ride,Afternoon Ride,50975.7,8195,162.0,6.22,12.9,142.0,185.0
2020-12-22T18:42:38Z,Walk,Evening Walk,5684.0,4171,73.0,1.363,3.0,92.9,137.0
2020-12-20T14:09:38Z,Ride,Afternoon Ride,50272.7,8881,207.0,5.661,13.8,135.4,196.0
2020-12-19T13:39:18Z,Walk,Afternoon Walk,8876.9,6658,58.0,1.333,2.4,84.8,108.0
2020-12-17T19:48:23Z,Ride,Evening Ride,55091.2,9207,176.0,5.984,12.8,131.2,180.0
2020-12-16T20:17:34Z,Walk,Evening Walk,2282.0,1720,8.0,1.327,2.9,86.7,105.0
2020-12-10T17:31:06Z,Ride,Evening Ride,52359.4,9720,295.0,5.387,12.1,147.8,189.0
2020-12-09T18:17:31Z,Run,Evening Run,9328.4,3349,88.0,2.785,4.0,155.3,184.0
